K,deg,memory,R0,QMC_m,n_param,LC,ICL,rep
1,0,0,500,30,38,-300879.2494198183,-301066.06440079893,1
1,1,0,500,30,114,-298567.55308529356,-299127.99802823545,1
1,2,0,500,30,190,-298040.77006428665,-298974.8449691898,1
1,0,1,500,30,75,-311886.7052920305,-312255.4190702818,1
1,1,1,500,30,225,-308825.3650547931,-309931.5063895468,1
1,2,1,500,30,375,-308083.7454031753,-309927.3142944315,1
2,0,0,500,30,78,-295839.1104490286,-296222.57277840987,1
2,1,0,500,30,234,-292845.8992534563,-293996.2862416001,1
2,2,0,500,30,390,-292107.63746484136,-294024.9491117478,1
2,0,1,500,30,152,-295093.7049287415,-295840.964852664,1
2,1,1,500,30,456,-292419.27007263293,-294661.04984440043,1
2,2,1,500,30,760,-291764.4362691662,-295500.7358887787,1
3,0,0,500,30,120,-294938.73203738476,-295528.6740825867,1
3,1,0,500,30,360,-291457.30246051453,-293227.12859612046,1
3,2,0,500,30,600,-290395.2227385028,-293344.93296451267,1
3,0,1,500,30,231,-293143.61686374625,-294279.2553007601,1
3,1,1,500,30,693,-290042.83686659846,-293449.7521776399,1
3,2,1,500,30,1155,-289339.6401488291,-295017.8323338982,1
4,0,0,500,30,164,-293460.3591790015,-294266.6133074442,1
4,1,0,500,30,492,-289520.82717107504,-291939.58955640317,1
4,2,0,500,30,820,-288858.28676113085,-292889.55740334437,1
4,0,1,500,30,312,-291281.9032091421,-292815.75252666726,1
4,1,1,500,30,936,-288041.4436570153,-292642.9916095907,1
4,2,1,500,30,1560,-287494.7203159984,-295163.9669036242,1
5,0,0,500,30,210,-291745.4437875822,-292777.8423666857,1
5,1,0,500,30,630,-288558.21016307356,-291655.40590038395,1
5,2,0,500,30,1050,-287812.779291291,-292974.77218680835,1
5,0,1,500,30,395,-290958.28816765966,-292900.18073311617,1
5,1,1,500,30,1185,-287371.21827168774,-293196.8959680573,1
5,2,1,500,30,1975,-286696.053546271,-296405.5163735536,1
